Country,Australia,Brazil,Canada,China,Egypt,India,Indonesia,Philippines,Russia,Turkey,United Kingdom,United States
1993-01-01,13707.0,0.0,19100.0,631.0,2.0,28.0,8.0,0.0,500.0,1065.0,,33414.0
1994-01-01,6354.0,1.0,20851.0,411.0,3.0,100.0,11.0,0.0,619.0,1810.0,,32340.0
1995-01-01,13311.0,1.0,16342.0,496.0,10.0,1500.0,18.0,0.0,206.0,1054.0,,33778.0
1996-01-01,19225.0,54.0,19501.0,969.0,3.0,2000.0,49.0,0.0,697.0,967.0,,27257.0
1997-01-01,15343.0,3.0,20134.0,1162.0,1.0,0.0,23.0,0.0,1111.0,1324.0,,28315.0
1998-01-01,16473.0,7.0,14705.0,542.0,0.0,0.0,9.0,0.0,1652.0,2626.0,,28460.0
1999-01-01,17844.0,4.0,19165.0,542.0,0.0,200.0,31.0,0.0,518.0,2163.0,,29570.0
2000-01-01,15930.0,3.0,17316.0,623.0,0.0,1569.0,49.0,0.0,696.0,1601.0,,28904.0
2001-01-01,16409.0,5.0,16272.0,1512.0,11.0,3087.0,45.0,62.0,4372.0,753.0,,26190.0
2002-01-01,9146.0,5.0,9432.0,1718.0,10.0,4850.0,73.0,8.0,12621.0,794.0,,23139.0
2003-01-01,18031.0,1378.0,15843.0,2824.0,10.0,5650.0,91.0,11.0,3114.0,839.0,,31524.0
2004-01-01,14722.0,15.0,14872.0,1171.0,10.0,2120.0,221.0,14.0,7951.0,2017.0,,29009.0
2005-01-01,16012.0,807.0,16020.0,1397.0,10.0,801.0,163.0,26.0,10664.0,3214.0,,27291.0
2006-01-01,8728.0,4.0,19434.0,2783.0,12.0,94.0,192.0,30.0,10790.0,2377.0,,24725.0
2007-01-01,7487.0,770.0,16116.0,2835.0,43.0,49.0,221.0,30.0,12220.0,1722.0,,34363.0
2008-01-01,14747.0,403.0,18876.0,723.0,94.0,23.0,144.0,31.0,18393.0,2239.0,,27635.0
2009-01-01,14827.0,1162.0,19042.0,892.0,175.0,58.0,212.0,36.0,18556.0,4266.0,,23931.0
2010-01-01,18600.0,2535.0,16575.0,941.0,225.0,72.0,214.0,41.0,3983.0,3014.0,,35147.0
2011-01-01,24661.0,2036.0,17352.0,978.0,232.0,891.0,222.0,39.0,21627.0,3670.0,,28606.0
2012-01-01,18647.0,1584.0,18953.0,969.0,177.0,6824.0,236.0,28.0,11308.0,1519.0,,27544.0
2013-01-01,18615.0,80.0,23268.0,889.0,190.0,6053.0,301.0,32.0,18609.0,4449.0,,32012.0
2014-01-01,16591.0,1691.0,24170.0,803.0,282.0,3409.0,282.0,49.0,22800.0,4090.0,,23523.0
2015-01-01,16119.0,1059.0,22091.0,729.0,469.0,1130.0,270.0,50.0,25546.0,5878.0,,21168.0
2016-01-01,22644.0,619.0,20218.0,748.0,465.0,501.0,305.0,77.0,27815.0,6699.0,1828.0,28600.0
2017-01-01,13849.0,230.0,22000.0,1004.0,781.0,569.0,318.0,60.0,41447.0,6698.0,795.0,24658.0
2018-01-01,9006.0,602.0,24380.0,1006.0,1090.0,496.0,274.0,71.0,35863.0,6814.0,738.0,25502.0
2019-01-01,9136.0,420.0,24627.0,1049.0,978.0,509.0,350.0,75.0,34485.0,6534.0,1621.0,26276.0
2020-01-01,22000.0,950.0,27500.0,1000.0,900.0,2300.0,300.0,65.0,39500.0,6600.0,350.0,26263.0
2021-01-01,20000.0,1000.0,23500.0,1000.0,900.0,2200.0,300.0,70.0,40000.0,6500.0,550.0,24494.0
