Rainfall - (MM), Year, Statistics, Country, ISO3
115.6, 1923, Sep Average, United Kingdom, GBR
158.2, 1923, Oct Average, United Kingdom, GBR
124.7, 1923, Nov Average, United Kingdom, GBR
133.6, 1923, Dec Average, United Kingdom, GBR
114.2, 1924, Jan Average, United Kingdom, GBR
42.3, 1924, Feb Average, United Kingdom, GBR
42.9, 1924, Mar Average, United Kingdom, GBR
74.4, 1924, Apr Average, United Kingdom, GBR
126.6, 1924, May Average, United Kingdom, GBR
76.5, 1924, Jun Average, United Kingdom, GBR
127.6, 1924, Jul Average, United Kingdom, GBR
119.7, 1924, Aug Average, United Kingdom, GBR
140.6, 1924, Sep Average, United Kingdom, GBR
136.9, 1924, Oct Average, United Kingdom, GBR
85.4, 1924, Nov Average, United Kingdom, GBR
158.3, 1924, Dec Average, United Kingdom, GBR
105.0, 1925, Jan Average, United Kingdom, GBR
147.4, 1925, Feb Average, United Kingdom, GBR
57.2, 1925, Mar Average, United Kingdom, GBR
91.9, 1925, Apr Average, United Kingdom, GBR
119.3, 1925, May Average, United Kingdom, GBR
13.2, 1925, Jun Average, United Kingdom, GBR
81.6, 1925, Jul Average, United Kingdom, GBR
89.1, 1925, Aug Average, United Kingdom, GBR
118.6, 1925, Sep Average, United Kingdom, GBR
119.2, 1925, Oct Average, United Kingdom, GBR
72.3, 1925, Nov Average, United Kingdom, GBR
124.0, 1925, Dec Average, United Kingdom, GBR
143.7, 1926, Jan Average, United Kingdom, GBR
107.0, 1926, Feb Average, United Kingdom, GBR
59.3, 1926, Mar Average, United Kingdom, GBR
70.8, 1926, Apr Average, United Kingdom, GBR
81.7, 1926, May Average, United Kingdom, GBR
81.5, 1926, Jun Average, United Kingdom, GBR
81.1, 1926, Jul Average, United Kingdom, GBR
85.3, 1926, Aug Average, United Kingdom, GBR
90.2, 1926, Sep Average, United Kingdom, GBR
136.7, 1926, Oct Average, United Kingdom, GBR
172.8, 1926, Nov Average, United Kingdom, GBR
48.2, 1926, Dec Average, United Kingdom, GBR
126.6, 1927, Jan Average, United Kingdom, GBR
80.7, 1927, Feb Average, United Kingdom, GBR
102.3, 1927, Mar Average, United Kingdom, GBR
81.2, 1927, Apr Average, United Kingdom, GBR
55.0, 1927, May Average, United Kingdom, GBR
113.9, 1927, Jun Average, United Kingdom, GBR
99.6, 1927, Jul Average, United Kingdom, GBR
140.6, 1927, Aug Average, United Kingdom, GBR
176.1, 1927, Sep Average, United Kingdom, GBR
116.8, 1927, Oct Average, United Kingdom, GBR
122.5, 1927, Nov Average, United Kingdom, GBR
84.1, 1927, Dec Average, United Kingdom, GBR
213.1, 1928, Jan Average, United Kingdom, GBR
105.3, 1928, Feb Average, United Kingdom, GBR
104.8, 1928, Mar Average, United Kingdom, GBR
46.7, 1928, Apr Average, United Kingdom, GBR
45.4, 1928, May Average, United Kingdom, GBR
116.0, 1928, Jun Average, United Kingdom, GBR
71.1, 1928, Jul Average, United Kingdom, GBR
112.5, 1928, Aug Average, United Kingdom, GBR
64.7, 1928, Sep Average, United Kingdom, GBR
170.3, 1928, Oct Average, United Kingdom, GBR
145.4, 1928, Nov Average, United Kingdom, GBR
112.8, 1928, Dec Average, United Kingdom, GBR
56.1, 1929, Jan Average, United Kingdom, GBR
43.5, 1929, Feb Average, United Kingdom, GBR
16.8, 1929, Mar Average, United Kingdom, GBR
44.3, 1929, Apr Average, United Kingdom, GBR
72.4, 1929, May Average, United Kingdom, GBR
63.7, 1929, Jun Average, United Kingdom, GBR
81.9, 1929, Jul Average, United Kingdom, GBR
114.2, 1929, Aug Average, United Kingdom, GBR
43.5, 1929, Sep Average, United Kingdom, GBR
156.9, 1929, Oct Average, United Kingdom, GBR
191.1, 1929, Nov Average, United Kingdom, GBR
224.3, 1929, Dec Average, United Kingdom, GBR
154.1, 1930, Jan Average, United Kingdom, GBR
28.1, 1930, Feb Average, United Kingdom, GBR
82.6, 1930, Mar Average, United Kingdom, GBR
68.9, 1930, Apr Average, United Kingdom, GBR
59.7, 1930, May Average, United Kingdom, GBR
55.1, 1930, Jun Average, United Kingdom, GBR
106.0, 1930, Jul Average, United Kingdom, GBR
146.5, 1930, Aug Average, United Kingdom, GBR
128.4, 1930, Sep Average, United Kingdom, GBR
146.0, 1930, Oct Average, United Kingdom, GBR
152.8, 1930, Nov Average, United Kingdom, GBR
124.1, 1930, Dec Average, United Kingdom, GBR
116.7, 1931, Jan Average, United Kingdom, GBR
104.7, 1931, Feb Average, United Kingdom, GBR
34.4, 1931, Mar Average, United Kingdom, GBR
89.2, 1931, Apr Average, United Kingdom, GBR
103.0, 1931, May Average, United Kingdom, GBR
117.0, 1931, Jun Average, United Kingdom, GBR
116.9, 1931, Jul Average, United Kingdom, GBR
103.5, 1931, Aug Average, United Kingdom, GBR
74.9, 1931, Sep Average, United Kingdom, GBR
69.3, 1931, Oct Average, United Kingdom, GBR
168.4, 1931, Nov Average, United Kingdom, GBR
81.3, 1931, Dec Average, United Kingdom, GBR
136.7, 1932, Jan Average, United Kingdom, GBR
11.1, 1932, Feb Average, United Kingdom, GBR
81.7, 1932, Mar Average, United Kingdom, GBR
102.1, 1932, Apr Average, United Kingdom, GBR
112.2, 1932, May Average, United Kingdom, GBR
36.1, 1932, Jun Average, United Kingdom, GBR
116.5, 1932, Jul Average, United Kingdom, GBR
60.3, 1932, Aug Average, United Kingdom, GBR
114.7, 1932, Sep Average, United Kingdom, GBR
195.0, 1932, Oct Average, United Kingdom, GBR
89.4, 1932, Nov Average, United Kingdom, GBR
107.6, 1932, Dec Average, United Kingdom, GBR
100.4, 1933, Jan Average, United Kingdom, GBR
116.2, 1933, Feb Average, United Kingdom, GBR
80.6, 1933, Mar Average, United Kingdom, GBR
54.5, 1933, Apr Average, United Kingdom, GBR
62.0, 1933, May Average, United Kingdom, GBR
61.0, 1933, Jun Average, United Kingdom, GBR
80.8, 1933, Jul Average, United Kingdom, GBR
61.0, 1933, Aug Average, United Kingdom, GBR
50.3, 1933, Sep Average, United Kingdom, GBR
130.8, 1933, Oct Average, United Kingdom, GBR
66.5, 1933, Nov Average, United Kingdom, GBR
43.3, 1933, Dec Average, United Kingdom, GBR
114.6, 1934, Jan Average, United Kingdom, GBR
20.7, 1934, Feb Average, United Kingdom, GBR
86.0, 1934, Mar Average, United Kingdom, GBR
95.4, 1934, Apr Average, United Kingdom, GBR
65.9, 1934, May Average, United Kingdom, GBR
54.6, 1934, Jun Average, United Kingdom, GBR
69.9, 1934, Jul Average, United Kingdom, GBR
106.0, 1934, Aug Average, United Kingdom, GBR
102.3, 1934, Sep Average, United Kingdom, GBR
136.4, 1934, Oct Average, United Kingdom, GBR
65.3, 1934, Nov Average, United Kingdom, GBR
193.4, 1934, Dec Average, United Kingdom, GBR
69.7, 1935, Jan Average, United Kingdom, GBR
127.1, 1935, Feb Average, United Kingdom, GBR
48.8, 1935, Mar Average, United Kingdom, GBR
107.3, 1935, Apr Average, United Kingdom, GBR
34.2, 1935, May Average, United Kingdom, GBR
102.9, 1935, Jun Average, United Kingdom, GBR
44.0, 1935, Jul Average, United Kingdom, GBR
77.9, 1935, Aug Average, United Kingdom, GBR
164.6, 1935, Sep Average, United Kingdom, GBR
187.5, 1935, Oct Average, United Kingdom, GBR
161.8, 1935, Nov Average, United Kingdom, GBR
106.8, 1935, Dec Average, United Kingdom, GBR
142.3, 1936, Jan Average, United Kingdom, GBR
82.2, 1936, Feb Average, United Kingdom, GBR
72.7, 1936, Mar Average, United Kingdom, GBR
49.8, 1936, Apr Average, United Kingdom, GBR
44.1, 1936, May Average, United Kingdom, GBR
86.4, 1936, Jun Average, United Kingdom, GBR
142.8, 1936, Jul Average, United Kingdom, GBR
54.4, 1936, Aug Average, United Kingdom, GBR
108.9, 1936, Sep Average, United Kingdom, GBR
97.2, 1936, Oct Average, United Kingdom, GBR
113.6, 1936, Nov Average, United Kingdom, GBR
131.7, 1936, Dec Average, United Kingdom, GBR
157.4, 1937, Jan Average, United Kingdom, GBR
150.7, 1937, Feb Average, United Kingdom, GBR
90.1, 1937, Mar Average, United Kingdom, GBR
73.3, 1937, Apr Average, United Kingdom, GBR
73.7, 1937, May Average, United Kingdom, GBR
60.6, 1937, Jun Average, United Kingdom, GBR
90.3, 1937, Jul Average, United Kingdom, GBR
70.9, 1937, Aug Average, United Kingdom, GBR
77.9, 1937, Sep Average, United Kingdom, GBR
97.3, 1937, Oct Average, United Kingdom, GBR
50.4, 1937, Nov Average, United Kingdom, GBR
112.0, 1937, Dec Average, United Kingdom, GBR
152.2, 1938, Jan Average, United Kingdom, GBR
59.8, 1938, Feb Average, United Kingdom, GBR
57.3, 1938, Mar Average, United Kingdom, GBR
14.7, 1938, Apr Average, United Kingdom, GBR
88.6, 1938, May Average, United Kingdom, GBR
96.3, 1938, Jun Average, United Kingdom, GBR
109.7, 1938, Jul Average, United Kingdom, GBR
89.4, 1938, Aug Average, United Kingdom, GBR
89.2, 1938, Sep Average, United Kingdom, GBR
181.1, 1938, Oct Average, United Kingdom, GBR
166.2, 1938, Nov Average, United Kingdom, GBR
128.0, 1938, Dec Average, United Kingdom, GBR
163.3, 1939, Jan Average, United Kingdom, GBR
97.0, 1939, Feb Average, United Kingdom, GBR
85.8, 1939, Mar Average, United Kingdom, GBR
64.8, 1939, Apr Average, United Kingdom, GBR
36.6, 1939, May Average, United Kingdom, GBR
65.8, 1939, Jun Average, United Kingdom, GBR
132.4, 1939, Jul Average, United Kingdom, GBR
71.3, 1939, Aug Average, United Kingdom, GBR
52.5, 1939, Sep Average, United Kingdom, GBR
123.5, 1939, Oct Average, United Kingdom, GBR
178.7, 1939, Nov Average, United Kingdom, GBR
81.1, 1939, Dec Average, United Kingdom, GBR
83.0, 1940, Jan Average, United Kingdom, GBR
76.5, 1940, Feb Average, United Kingdom, GBR
108.2, 1940, Mar Average, United Kingdom, GBR
75.5, 1940, Apr Average, United Kingdom, GBR
47.2, 1940, May Average, United Kingdom, GBR
29.8, 1940, Jun Average, United Kingdom, GBR
126.5, 1940, Jul Average, United Kingdom, GBR
40.5, 1940, Aug Average, United Kingdom, GBR
75.5, 1940, Sep Average, United Kingdom, GBR
139.9, 1940, Oct Average, United Kingdom, GBR
204.3, 1940, Nov Average, United Kingdom, GBR
115.4, 1940, Dec Average, United Kingdom, GBR
88.4, 1941, Jan Average, United Kingdom, GBR
114.6, 1941, Feb Average, United Kingdom, GBR
95.4, 1941, Mar Average, United Kingdom, GBR
52.0, 1941, Apr Average, United Kingdom, GBR
66.4, 1941, May Average, United Kingdom, GBR
32.4, 1941, Jun Average, United Kingdom, GBR
91.3, 1941, Jul Average, United Kingdom, GBR
135.8, 1941, Aug Average, United Kingdom, GBR
36.9, 1941, Sep Average, United Kingdom, GBR
122.4, 1941, Oct Average, United Kingdom, GBR
117.2, 1941, Nov Average, United Kingdom, GBR
74.1, 1941, Dec Average, United Kingdom, GBR
144.1, 1942, Jan Average, United Kingdom, GBR
55.8, 1942, Feb Average, United Kingdom, GBR
75.2, 1942, Mar Average, United Kingdom, GBR
50.9, 1942, Apr Average, United Kingdom, GBR
98.9, 1942, May Average, United Kingdom, GBR
32.7, 1942, Jun Average, United Kingdom, GBR
91.0, 1942, Jul Average, United Kingdom, GBR
113.7, 1942, Aug Average, United Kingdom, GBR
108.2, 1942, Sep Average, United Kingdom, GBR
134.5, 1942, Oct Average, United Kingdom, GBR
46.6, 1942, Nov Average, United Kingdom, GBR
139.3, 1942, Dec Average, United Kingdom, GBR
158.8, 1943, Jan Average, United Kingdom, GBR
83.8, 1943, Feb Average, United Kingdom, GBR
46.7, 1943, Mar Average, United Kingdom, GBR
64.3, 1943, Apr Average, United Kingdom, GBR
95.5, 1943, May Average, United Kingdom, GBR
74.1, 1943, Jun Average, United Kingdom, GBR
65.9, 1943, Jul Average, United Kingdom, GBR
118.9, 1943, Aug Average, United Kingdom, GBR
106.9, 1943, Sep Average, United Kingdom, GBR
135.9, 1943, Oct Average, United Kingdom, GBR
89.4, 1943, Nov Average, United Kingdom, GBR
65.6, 1943, Dec Average, United Kingdom, GBR
118.0, 1944, Jan Average, United Kingdom, GBR
57.5, 1944, Feb Average, United Kingdom, GBR
30.5, 1944, Mar Average, United Kingdom, GBR
69.9, 1944, Apr Average, United Kingdom, GBR
64.2, 1944, May Average, United Kingdom, GBR
85.0, 1944, Jun Average, United Kingdom, GBR
78.9, 1944, Jul Average, United Kingdom, GBR
87.4, 1944, Aug Average, United Kingdom, GBR
131.4, 1944, Sep Average, United Kingdom, GBR
142.7, 1944, Oct Average, United Kingdom, GBR
179.5, 1944, Nov Average, United Kingdom, GBR
114.1, 1944, Dec Average, United Kingdom, GBR
112.1, 1945, Jan Average, United Kingdom, GBR
117.2, 1945, Feb Average, United Kingdom, GBR
54.0, 1945, Mar Average, United Kingdom, GBR
52.6, 1945, Apr Average, United Kingdom, GBR
103.8, 1945, May Average, United Kingdom, GBR
95.8, 1945, Jun Average, United Kingdom, GBR
86.6, 1945, Jul Average, United Kingdom, GBR
74.4, 1945, Aug Average, United Kingdom, GBR
98.8, 1945, Sep Average, United Kingdom, GBR
132.6, 1945, Oct Average, United Kingdom, GBR
27.9, 1945, Nov Average, United Kingdom, GBR
132.7, 1945, Dec Average, United Kingdom, GBR
121.5, 1946, Jan Average, United Kingdom, GBR
99.8, 1946, Feb Average, United Kingdom, GBR
55.9, 1946, Mar Average, United Kingdom, GBR
48.6, 1946, Apr Average, United Kingdom, GBR
66.8, 1946, May Average, United Kingdom, GBR
94.8, 1946, Jun Average, United Kingdom, GBR
101.9, 1946, Jul Average, United Kingdom, GBR
138.1, 1946, Aug Average, United Kingdom, GBR
150.0, 1946, Sep Average, United Kingdom, GBR
36.4, 1946, Oct Average, United Kingdom, GBR
172.2, 1946, Nov Average, United Kingdom, GBR
118.4, 1946, Dec Average, United Kingdom, GBR
108.4, 1947, Jan Average, United Kingdom, GBR
52.6, 1947, Feb Average, United Kingdom, GBR
157.1, 1947, Mar Average, United Kingdom, GBR
98.6, 1947, Apr Average, United Kingdom, GBR
81.5, 1947, May Average, United Kingdom, GBR
84.6, 1947, Jun Average, United Kingdom, GBR
87.2, 1947, Jul Average, United Kingdom, GBR
13.4, 1947, Aug Average, United Kingdom, GBR
89.4, 1947, Sep Average, United Kingdom, GBR
