tasmin, Year, Statistics, Country, ISO3
-4.3, 1918, May Average, Russia, RUS
5.2, 1918, Jun Average, Russia, RUS
8.8, 1918, Jul Average, Russia, RUS
6.4, 1918, Aug Average, Russia, RUS
1.3, 1918, Sep Average, Russia, RUS
-8.7, 1918, Oct Average, Russia, RUS
-22.0, 1918, Nov Average, Russia, RUS
-31.6, 1918, Dec Average, Russia, RUS
-34.8, 1919, Jan Average, Russia, RUS
-32.4, 1919, Feb Average, Russia, RUS
-25.2, 1919, Mar Average, Russia, RUS
-12.9, 1919, Apr Average, Russia, RUS
-3.7, 1919, May Average, Russia, RUS
4.7, 1919, Jun Average, Russia, RUS
9.0, 1919, Jul Average, Russia, RUS
7.4, 1919, Aug Average, Russia, RUS
1.9, 1919, Sep Average, Russia, RUS
-7.5, 1919, Oct Average, Russia, RUS
-23.4, 1919, Nov Average, Russia, RUS
-29.3, 1919, Dec Average, Russia, RUS
-30.0, 1920, Jan Average, Russia, RUS
-29.9, 1920, Feb Average, Russia, RUS
-20.5, 1920, Mar Average, Russia, RUS
-10.9, 1920, Apr Average, Russia, RUS
-1.4, 1920, May Average, Russia, RUS
5.6, 1920, Jun Average, Russia, RUS
9.1, 1920, Jul Average, Russia, RUS
7.5, 1920, Aug Average, Russia, RUS
0.5, 1920, Sep Average, Russia, RUS
-11.1, 1920, Oct Average, Russia, RUS
-23.1, 1920, Nov Average, Russia, RUS
-30.8, 1920, Dec Average, Russia, RUS
-29.8, 1921, Jan Average, Russia, RUS
-28.7, 1921, Feb Average, Russia, RUS
-22.4, 1921, Mar Average, Russia, RUS
-12.6, 1921, Apr Average, Russia, RUS
-2.9, 1921, May Average, Russia, RUS
6.3, 1921, Jun Average, Russia, RUS
9.5, 1921, Jul Average, Russia, RUS
6.8, 1921, Aug Average, Russia, RUS
1.1, 1921, Sep Average, Russia, RUS
-9.0, 1921, Oct Average, Russia, RUS
-20.7, 1921, Nov Average, Russia, RUS
-30.7, 1921, Dec Average, Russia, RUS
-33.1, 1922, Jan Average, Russia, RUS
-32.7, 1922, Feb Average, Russia, RUS
-22.3, 1922, Mar Average, Russia, RUS
-13.3, 1922, Apr Average, Russia, RUS
-2.3, 1922, May Average, Russia, RUS
6.2, 1922, Jun Average, Russia, RUS
9.7, 1922, Jul Average, Russia, RUS
6.6, 1922, Aug Average, Russia, RUS
0.5, 1922, Sep Average, Russia, RUS
-9.8, 1922, Oct Average, Russia, RUS
-22.1, 1922, Nov Average, Russia, RUS
-27.2, 1922, Dec Average, Russia, RUS
-30.9, 1923, Jan Average, Russia, RUS
-30.8, 1923, Feb Average, Russia, RUS
-23.0, 1923, Mar Average, Russia, RUS
-14.5, 1923, Apr Average, Russia, RUS
-3.4, 1923, May Average, Russia, RUS
5.6, 1923, Jun Average, Russia, RUS
9.1, 1923, Jul Average, Russia, RUS
7.3, 1923, Aug Average, Russia, RUS
1.7, 1923, Sep Average, Russia, RUS
-8.0, 1923, Oct Average, Russia, RUS
-21.4, 1923, Nov Average, Russia, RUS
-27.7, 1923, Dec Average, Russia, RUS
-32.6, 1924, Jan Average, Russia, RUS
-30.5, 1924, Feb Average, Russia, RUS
-23.5, 1924, Mar Average, Russia, RUS
-13.5, 1924, Apr Average, Russia, RUS
-2.0, 1924, May Average, Russia, RUS
4.7, 1924, Jun Average, Russia, RUS
9.4, 1924, Jul Average, Russia, RUS
7.0, 1924, Aug Average, Russia, RUS
1.7, 1924, Sep Average, Russia, RUS
-9.0, 1924, Oct Average, Russia, RUS
-18.9, 1924, Nov Average, Russia, RUS
-27.0, 1924, Dec Average, Russia, RUS
-27.0, 1925, Jan Average, Russia, RUS
-29.2, 1925, Feb Average, Russia, RUS
-24.1, 1925, Mar Average, Russia, RUS
-13.2, 1925, Apr Average, Russia, RUS
-3.0, 1925, May Average, Russia, RUS
4.6, 1925, Jun Average, Russia, RUS
8.6, 1925, Jul Average, Russia, RUS
6.9, 1925, Aug Average, Russia, RUS
1.3, 1925, Sep Average, Russia, RUS
-8.2, 1925, Oct Average, Russia, RUS
-20.9, 1925, Nov Average, Russia, RUS
-28.3, 1925, Dec Average, Russia, RUS
-29.7, 1926, Jan Average, Russia, RUS
-30.5, 1926, Feb Average, Russia, RUS
-20.5, 1926, Mar Average, Russia, RUS
-13.0, 1926, Apr Average, Russia, RUS
-4.0, 1926, May Average, Russia, RUS
4.9, 1926, Jun Average, Russia, RUS
8.5, 1926, Jul Average, Russia, RUS
7.3, 1926, Aug Average, Russia, RUS
1.4, 1926, Sep Average, Russia, RUS
-8.8, 1926, Oct Average, Russia, RUS
-20.5, 1926, Nov Average, Russia, RUS
-29.6, 1926, Dec Average, Russia, RUS
-34.0, 1927, Jan Average, Russia, RUS
-29.2, 1927, Feb Average, Russia, RUS
-25.5, 1927, Mar Average, Russia, RUS
-12.7, 1927, Apr Average, Russia, RUS
-1.5, 1927, May Average, Russia, RUS
6.0, 1927, Jun Average, Russia, RUS
9.1, 1927, Jul Average, Russia, RUS
7.0, 1927, Aug Average, Russia, RUS
2.1, 1927, Sep Average, Russia, RUS
-8.0, 1927, Oct Average, Russia, RUS
-20.8, 1927, Nov Average, Russia, RUS
-30.0, 1927, Dec Average, Russia, RUS
-31.2, 1928, Jan Average, Russia, RUS
-29.6, 1928, Feb Average, Russia, RUS
-24.9, 1928, Mar Average, Russia, RUS
-13.4, 1928, Apr Average, Russia, RUS
-3.1, 1928, May Average, Russia, RUS
5.0, 1928, Jun Average, Russia, RUS
9.2, 1928, Jul Average, Russia, RUS
7.6, 1928, Aug Average, Russia, RUS
1.1, 1928, Sep Average, Russia, RUS
-8.8, 1928, Oct Average, Russia, RUS
-22.1, 1928, Nov Average, Russia, RUS
-28.5, 1928, Dec Average, Russia, RUS
-33.6, 1929, Jan Average, Russia, RUS
-32.5, 1929, Feb Average, Russia, RUS
-24.2, 1929, Mar Average, Russia, RUS
-13.8, 1929, Apr Average, Russia, RUS
-3.0, 1929, May Average, Russia, RUS
5.2, 1929, Jun Average, Russia, RUS
9.3, 1929, Jul Average, Russia, RUS
6.8, 1929, Aug Average, Russia, RUS
0.5, 1929, Sep Average, Russia, RUS
-7.8, 1929, Oct Average, Russia, RUS
-20.4, 1929, Nov Average, Russia, RUS
-31.4, 1929, Dec Average, Russia, RUS
-28.0, 1930, Jan Average, Russia, RUS
-32.1, 1930, Feb Average, Russia, RUS
-22.3, 1930, Mar Average, Russia, RUS
-14.4, 1930, Apr Average, Russia, RUS
-3.1, 1930, May Average, Russia, RUS
5.0, 1930, Jun Average, Russia, RUS
8.9, 1930, Jul Average, Russia, RUS
7.3, 1930, Aug Average, Russia, RUS
0.6, 1930, Sep Average, Russia, RUS
-9.2, 1930, Oct Average, Russia, RUS
-19.3, 1930, Nov Average, Russia, RUS
-30.5, 1930, Dec Average, Russia, RUS
-34.6, 1931, Jan Average, Russia, RUS
-32.7, 1931, Feb Average, Russia, RUS
-23.1, 1931, Mar Average, Russia, RUS
-14.5, 1931, Apr Average, Russia, RUS
-3.1, 1931, May Average, Russia, RUS
5.8, 1931, Jun Average, Russia, RUS
9.7, 1931, Jul Average, Russia, RUS
7.5, 1931, Aug Average, Russia, RUS
1.9, 1931, Sep Average, Russia, RUS
-6.9, 1931, Oct Average, Russia, RUS
-20.6, 1931, Nov Average, Russia, RUS
-27.9, 1931, Dec Average, Russia, RUS
-27.7, 1932, Jan Average, Russia, RUS
-29.8, 1932, Feb Average, Russia, RUS
-23.7, 1932, Mar Average, Russia, RUS
-11.3, 1932, Apr Average, Russia, RUS
-2.8, 1932, May Average, Russia, RUS
5.4, 1932, Jun Average, Russia, RUS
9.9, 1932, Jul Average, Russia, RUS
7.4, 1932, Aug Average, Russia, RUS
2.2, 1932, Sep Average, Russia, RUS
-7.3, 1932, Oct Average, Russia, RUS
-22.2, 1932, Nov Average, Russia, RUS
-27.8, 1932, Dec Average, Russia, RUS
-32.4, 1933, Jan Average, Russia, RUS
-32.2, 1933, Feb Average, Russia, RUS
-25.4, 1933, Mar Average, Russia, RUS
-13.1, 1933, Apr Average, Russia, RUS
-3.8, 1933, May Average, Russia, RUS
4.4, 1933, Jun Average, Russia, RUS
9.1, 1933, Jul Average, Russia, RUS
6.9, 1933, Aug Average, Russia, RUS
0.6, 1933, Sep Average, Russia, RUS
-7.9, 1933, Oct Average, Russia, RUS
-22.1, 1933, Nov Average, Russia, RUS
-29.4, 1933, Dec Average, Russia, RUS
-28.7, 1934, Jan Average, Russia, RUS
-24.4, 1934, Feb Average, Russia, RUS
-23.5, 1934, Mar Average, Russia, RUS
-14.2, 1934, Apr Average, Russia, RUS
-1.5, 1934, May Average, Russia, RUS
5.5, 1934, Jun Average, Russia, RUS
8.9, 1934, Jul Average, Russia, RUS
7.0, 1934, Aug Average, Russia, RUS
0.4, 1934, Sep Average, Russia, RUS
-7.9, 1934, Oct Average, Russia, RUS
-19.4, 1934, Nov Average, Russia, RUS
-28.0, 1934, Dec Average, Russia, RUS
-31.1, 1935, Jan Average, Russia, RUS
-25.1, 1935, Feb Average, Russia, RUS
-23.4, 1935, Mar Average, Russia, RUS
-13.9, 1935, Apr Average, Russia, RUS
-2.4, 1935, May Average, Russia, RUS
5.3, 1935, Jun Average, Russia, RUS
9.1, 1935, Jul Average, Russia, RUS
7.1, 1935, Aug Average, Russia, RUS
1.4, 1935, Sep Average, Russia, RUS
-9.1, 1935, Oct Average, Russia, RUS
-22.6, 1935, Nov Average, Russia, RUS
-28.5, 1935, Dec Average, Russia, RUS
-32.3, 1936, Jan Average, Russia, RUS
-30.5, 1936, Feb Average, Russia, RUS
-24.9, 1936, Mar Average, Russia, RUS
-12.1, 1936, Apr Average, Russia, RUS
-2.8, 1936, May Average, Russia, RUS
5.3, 1936, Jun Average, Russia, RUS
9.9, 1936, Jul Average, Russia, RUS
7.0, 1936, Aug Average, Russia, RUS
1.7, 1936, Sep Average, Russia, RUS
-8.1, 1936, Oct Average, Russia, RUS
-20.5, 1936, Nov Average, Russia, RUS
-25.0, 1936, Dec Average, Russia, RUS
-28.7, 1937, Jan Average, Russia, RUS
-27.8, 1937, Feb Average, Russia, RUS
-26.0, 1937, Mar Average, Russia, RUS
-13.8, 1937, Apr Average, Russia, RUS
-2.6, 1937, May Average, Russia, RUS
5.6, 1937, Jun Average, Russia, RUS
9.0, 1937, Jul Average, Russia, RUS
6.3, 1937, Aug Average, Russia, RUS
1.4, 1937, Sep Average, Russia, RUS
-7.9, 1937, Oct Average, Russia, RUS
-20.6, 1937, Nov Average, Russia, RUS
-29.3, 1937, Dec Average, Russia, RUS
-29.8, 1938, Jan Average, Russia, RUS
-28.2, 1938, Feb Average, Russia, RUS
-21.7, 1938, Mar Average, Russia, RUS
-9.8, 1938, Apr Average, Russia, RUS
-2.3, 1938, May Average, Russia, RUS
5.6, 1938, Jun Average, Russia, RUS
9.3, 1938, Jul Average, Russia, RUS
7.3, 1938, Aug Average, Russia, RUS
1.7, 1938, Sep Average, Russia, RUS
-9.5, 1938, Oct Average, Russia, RUS
-18.4, 1938, Nov Average, Russia, RUS
-31.0, 1938, Dec Average, Russia, RUS
-33.0, 1939, Jan Average, Russia, RUS
-26.5, 1939, Feb Average, Russia, RUS
-22.4, 1939, Mar Average, Russia, RUS
-12.1, 1939, Apr Average, Russia, RUS
-2.9, 1939, May Average, Russia, RUS
6.1, 1939, Jun Average, Russia, RUS
8.5, 1939, Jul Average, Russia, RUS
6.6, 1939, Aug Average, Russia, RUS
0.4, 1939, Sep Average, Russia, RUS
-9.1, 1939, Oct Average, Russia, RUS
-20.4, 1939, Nov Average, Russia, RUS
-25.4, 1939, Dec Average, Russia, RUS
-34.4, 1940, Jan Average, Russia, RUS
-29.4, 1940, Feb Average, Russia, RUS
-22.9, 1940, Mar Average, Russia, RUS
-11.2, 1940, Apr Average, Russia, RUS
-3.0, 1940, May Average, Russia, RUS
5.4, 1940, Jun Average, Russia, RUS
9.1, 1940, Jul Average, Russia, RUS
7.1, 1940, Aug Average, Russia, RUS
1.0, 1940, Sep Average, Russia, RUS
-11.2, 1940, Oct Average, Russia, RUS
-21.0, 1940, Nov Average, Russia, RUS
-30.1, 1940, Dec Average, Russia, RUS
-33.9, 1941, Jan Average, Russia, RUS
-31.9, 1941, Feb Average, Russia, RUS
-26.4, 1941, Mar Average, Russia, RUS
-14.9, 1941, Apr Average, Russia, RUS
-2.8, 1941, May Average, Russia, RUS
5.6, 1941, Jun Average, Russia, RUS
9.2, 1941, Jul Average, Russia, RUS
7.2, 1941, Aug Average, Russia, RUS
1.0, 1941, Sep Average, Russia, RUS
-8.2, 1941, Oct Average, Russia, RUS
-23.3, 1941, Nov Average, Russia, RUS
-31.9, 1941, Dec Average, Russia, RUS
-30.7, 1942, Jan Average, Russia, RUS
-30.5, 1942, Feb Average, Russia, RUS
-27.6, 1942, Mar Average, Russia, RUS
-14.1, 1942, Apr Average, Russia, RUS
-2.9, 1942, May Average, Russia, RUS
5.6, 1942, Jun Average, Russia, RUS
9.1, 1942, Jul Average, Russia, RUS
6.3, 1942, Aug Average, Russia, RUS
1.0, 1942, Sep Average, Russia, RUS
-9.3, 1942, Oct Average, Russia, RUS
-21.3, 1942, Nov Average, Russia, RUS
-25.7, 1942, Dec Average, Russia, RUS
-31.6, 1943, Jan Average, Russia, RUS
-26.8, 1943, Feb Average, Russia, RUS
-20.7, 1943, Mar Average, Russia, RUS
-9.6, 1943, Apr Average, Russia, RUS
-0.3, 1943, May Average, Russia, RUS
5.6, 1943, Jun Average, Russia, RUS
8.9, 1943, Jul Average, Russia, RUS
6.8, 1943, Aug Average, Russia, RUS
1.9, 1943, Sep Average, Russia, RUS
-7.6, 1943, Oct Average, Russia, RUS
-21.1, 1943, Nov Average, Russia, RUS
-28.1, 1943, Dec Average, Russia, RUS
-28.4, 1944, Jan Average, Russia, RUS
-27.2, 1944, Feb Average, Russia, RUS
-21.0, 1944, Mar Average, Russia, RUS
-12.8, 1944, Apr Average, Russia, RUS
-2.1, 1944, May Average, Russia, RUS
4.9, 1944, Jun Average, Russia, RUS
8.7, 1944, Jul Average, Russia, RUS
6.5, 1944, Aug Average, Russia, RUS
2.3, 1944, Sep Average, Russia, RUS
-8.3, 1944, Oct Average, Russia, RUS
-21.9, 1944, Nov Average, Russia, RUS
-27.7, 1944, Dec Average, Russia, RUS
-31.7, 1945, Jan Average, Russia, RUS
-30.6, 1945, Feb Average, Russia, RUS
-25.6, 1945, Mar Average, Russia, RUS
-10.5, 1945, Apr Average, Russia, RUS
-1.9, 1945, May Average, Russia, RUS
5.8, 1945, Jun Average, Russia, RUS
8.8, 1945, Jul Average, Russia, RUS
7.3, 1945, Aug Average, Russia, RUS
1.5, 1945, Sep Average, Russia, RUS
-7.7, 1945, Oct Average, Russia, RUS
-21.6, 1945, Nov Average, Russia, RUS
-31.4, 1945, Dec Average, Russia, RUS
-31.0, 1946, Jan Average, Russia, RUS
-30.3, 1946, Feb Average, Russia, RUS
-25.5, 1946, Mar Average, Russia, RUS
-12.1, 1946, Apr Average, Russia, RUS
-3.6, 1946, May Average, Russia, RUS
4.8, 1946, Jun Average, Russia, RUS
9.1, 1946, Jul Average, Russia, RUS
6.9, 1946, Aug Average, Russia, RUS
-0.1, 1946, Sep Average, Russia, RUS
-9.8, 1946, Oct Average, Russia, RUS
-21.9, 1946, Nov Average, Russia, RUS
-30.7, 1946, Dec Average, Russia, RUS
-33.3, 1947, Jan Average, Russia, RUS
-30.9, 1947, Feb Average, Russia, RUS
-23.4, 1947, Mar Average, Russia, RUS
-10.8, 1947, Apr Average, Russia, RUS
-2.5, 1947, May Average, Russia, RUS
5.2, 1947, Jun Average, Russia, RUS
8.4, 1947, Jul Average, Russia, RUS
6.3, 1947, Aug Average, Russia, RUS
1.2, 1947, Sep Average, Russia, RUS
-6.0, 1947, Oct Average, Russia, RUS
-21.5, 1947, Nov Average, Russia, RUS
-29.5, 1947, Dec Average, Russia, RUS
-29.7, 1948, Jan Average, Russia, RUS
-28.8, 1948, Feb Average, Russia, RUS
-22.4, 1948, Mar Average, Russia, RUS
-11.2, 1948, Apr Average, Russia, RUS
-1.4, 1948, May Average, Russia, RUS
5.8, 1948, Jun Average, Russia, RUS
9.0, 1948, Jul Average, Russia, RUS
6.7, 1948, Aug Average, Russia, RUS
1.3, 1948, Sep Average, Russia, RUS
-7.3, 1948, Oct Average, Russia, RUS
-19.1, 1948, Nov Average, Russia, RUS
-29.3, 1948, Dec Average, Russia, RUS
-27.0, 1949, Jan Average, Russia, RUS
-28.9, 1949, Feb Average, Russia, RUS
-23.5, 1949, Mar Average, Russia, RUS
-11.5, 1949, Apr Average, Russia, RUS
-2.0, 1949, May Average, Russia, RUS
4.9, 1949, Jun Average, Russia, RUS
7.9, 1949, Jul Average, Russia, RUS
7.0, 1949, Aug Average, Russia, RUS
0.8, 1949, Sep Average, Russia, RUS
-7.8, 1949, Oct Average, Russia, RUS
-23.4, 1949, Nov Average, Russia, RUS
-29.2, 1949, Dec Average, Russia, RUS
-33.1, 1950, Jan Average, Russia, RUS
-29.1, 1950, Feb Average, Russia, RUS
-22.9, 1950, Mar Average, Russia, RUS
-12.7, 1950, Apr Average, Russia, RUS
-3.2, 1950, May Average, Russia, RUS
5.1, 1950, Jun Average, Russia, RUS
8.1, 1950, Jul Average, Russia, RUS
6.3, 1950, Aug Average, Russia, RUS
1.1, 1950, Sep Average, Russia, RUS
-8.6, 1950, Oct Average, Russia, RUS
-23.4, 1950, Nov Average, Russia, RUS
-28.3, 1950, Dec Average, Russia, RUS
-33.1, 1951, Jan Average, Russia, RUS
-33.6, 1951, Feb Average, Russia, RUS
-23.7, 1951, Mar Average, Russia, RUS
-11.8, 1951, Apr Average, Russia, RUS
-2.6, 1951, May Average, Russia, RUS
4.8, 1951, Jun Average, Russia, RUS
8.7, 1951, Jul Average, Russia, RUS
6.7, 1951, Aug Average, Russia, RUS
1.7, 1951, Sep Average, Russia, RUS
-7.1, 1951, Oct Average, Russia, RUS
-21.5, 1951, Nov Average, Russia, RUS
-24.3, 1951, Dec Average, Russia, RUS
-30.7, 1952, Jan Average, Russia, RUS
-30.0, 1952, Feb Average, Russia, RUS
-25.7, 1952, Mar Average, Russia, RUS
-14.1, 1952, Apr Average, Russia, RUS
-3.5, 1952, May Average, Russia, RUS
5.1, 1952, Jun Average, Russia, RUS
9.5, 1952, Jul Average, Russia, RUS
6.9, 1952, Aug Average, Russia, RUS
